,배번,선수,G,Min,2P,2PA,%,3P,3PA,%,FG%,FT,FTA,%,eFG%,팀,ORB,DRB,RPG,Ast,APG,w/FT,w/oFT,STL,BS,GD,TO,DK,DKA,PTS,PPG
182,6,차바위,51,20:30:39,71,125,56.8,51,164,31.1,42.2,44,67,65.7,0.51,인천 전자랜드 엘리펀츠,62,120,3.6,94,1.8,45,78,45,4,10,44,0,0,339,6.6
183,23,찰스 로드,26,12:16:40,180,341,52.8,11,37,29.7,50.5,74,118,62.7,0.52,인천 전자랜드 엘리펀츠,73,164,9.1,35,1.3,44,33,17,27,0,60,22,24,467,18
184,33,최우연,1,00:01:46,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,인천 전자랜드 엘리펀츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,11,홍경기,10,00:29:00,1,6,16.7,0,5,0.0,9.1,2,2,100.0,0.091,인천 전자랜드 엘리펀츠,2,3,0.5,3,0.3,1,1,1,0,0,2,0,0,4,0.4
186,13,기승호,51,12:33:49,68,131,51.9,39,113,34.5,43.9,36,43,83.7,0.518,안양 KGC 인삼공사,48,80,2.5,35,0.7,34,21,36,5,0,21,0,0,289,5.7
187,14,김승원,39,08:06:59,28,80,35.0,7,28,25.0,32.4,20,25,80.0,0.356,안양 KGC 인삼공사,46,75,3.1,27,0.7,36,30,14,9,0,9,0,0,97,2.5
188,16,김윤태,16,03:31:40,10,20,50.0,10,31,32.3,39.2,4,9,44.4,0.49,안양 KGC 인삼공사,5,10,0.9,19,1.2,6,23,8,0,0,9,0,0,54,3.4
189,32,김철욱,26,02:45:19,17,30,56.7,7,23,30.4,45.3,6,6,100.0,0.519,안양 KGC 인삼공사,10,20,1.2,5,0.2,25,3,1,8,4,6,1,1,61,2.3
190,25,랜디 컬페퍼,16,07:44:04,52,101,51.5,58,149,38.9,44.0,57,71,80.3,0.556,안양 KGC 인삼공사,2,32,2.1,65,4.1,10,8,30,3,5,32,1,1,335,20.9
191,24,레이션 테리,36,19:12:29,194,370,52.4,74,215,34.4,45.8,134,169,79.3,0.521,안양 KGC 인삼공사,87,260,9.6,48,1.3,39,36,47,27,7,67,8,9,744,20.7
192,10,문성곤,16,07:26:24,28,47,59.6,17,62,27.4,41.3,12,24,50.0,0.491,안양 KGC 인삼공사,34,40,4.6,22,1.4,30,16,30,14,0,21,2,2,119,7.4
193,22,미카일 매킨토시,18,08:09:53,110,201,54.7,17,76,22.4,45.9,42,59,71.2,0.489,안양 KGC 인삼공사,35,101,7.6,38,2.1,32,29,14,11,3,46,13,14,313,17.4
194,5,박재한,27,03:50:26,2,11,18.2,11,32,34.4,30.2,4,4,100.0,0.43,안양 KGC 인삼공사,17,12,1.1,25,0.9,23,22,8,1,4,10,0,0,41,1.5
195,3,박지훈,35,15:20:05,90,182,49.5,28,94,29.8,42.8,37,60,61.7,0.478,안양 KGC 인삼공사,38,53,2.6,135,3.9,36,46,70,4,5,53,0,0,301,8.6
196,6,박형철,32,06:23:22,11,25,44.0,25,71,35.2,37.5,5,12,41.7,0.505,안양 KGC 인삼공사,6,16,0.7,33,1,25,20,18,2,1,28,0,0,102,3.2
197,9,배병준,47,10:23:27,18,47,38.3,59,174,33.9,34.8,31,37,83.8,0.482,안양 KGC 인삼공사,24,53,1.6,30,0.6,45,26,16,2,3,16,0,0,244,5.2
198,0,변준형,29,09:12:03,56,98,57.1,30,109,27.5,41.6,38,62,61.3,0.488,안양 KGC 인삼공사,17,31,1.7,58,2,27,29,35,1,4,45,0,0,240,8.3
199,11,양희종,48,20:27:49,40,109,36.7,75,209,35.9,36.2,29,49,59.2,0.48,안양 KGC 인삼공사,45,146,4,131,2.7,64,38,53,41,2,92,0,0,334,7
200,41,오세근,25,11:29:23,144,273,52.8,1,1,100.0,52.9,66,84,78.6,0.531,안양 KGC 인삼공사,57,144,8,61,2.4,28,16,29,14,2,35,0,0,357,14.3
201,1,이민재,23,02:20:30,5,8,62.5,7,18,38.9,46.2,7,11,63.6,0.596,안양 KGC 인삼공사,11,6,0.7,8,0.3,12,19,6,0,1,2,0,0,38,1.7
202,12,장규호,1,00:03:46,0,0,0.0,0,0,0.0,0.0,0,0,0.0,,안양 KGC 인삼공사,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,92,저스틴 에드워즈,36,13:55:30,174,327,53.2,31,116,26.7,46.3,87,125,69.6,0.498,안양 KGC 인삼공사,73,82,4.3,98,2.7,41,44,58,15,1,58,12,16,528,14.7
204,2,전태영,5,00:18:36,1,2,50.0,0,5,0.0,14.3,1,2,50.0,0.143,안양 KGC 인삼공사,2,0,0.4,1,0.2,1,2,2,0,0,1,0,0,3,0.6
205,8,최현민,54,16:48:29,75,147,51.0,31,96,32.3,43.6,44,74,59.5,0.5,안양 KGC 인삼공사,87,99,3.4,44,0.8,65,62,28,13,1,31,0,0,287,5.3
206,3,한희원,14,03:12:48,8,28,28.6,6,24,25.0,26.9,4,7,57.1,0.327,안양 KGC 인삼공사,13,14,1.9,11,0.8,7,5,7,1,0,5,0,0,38,2.7
207,33,홍석민,1,00:03:09,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0.0,안양 KGC 인삼공사,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
